,Unnamed: 0,Unnamed: 0.1,date,text
1,1,52793,2018-11-21 23:59:56,SECOND SHINY! LET'S GO! 
4,4,52796,2018-11-21 23:59:31,Shiny hunting some dragons live on in Come bring me the luck! 
5,5,52797,2018-11-21 23:59:23,HELLO MY DARLING 
6,6,52798,2018-11-21 23:59:23,oh my god 
8,8,52800,2018-11-21 23:59:17,Streaming more Pokemon Let's Go Pikachu! 
10,10,52802,2018-11-21 23:59:12,And another one 
13,13,52805,2018-11-21 23:58:56,"Ahhh! The girl I'm dating created this beautiful artwork for me &lt;3 my fave is Mew, her's is Sandshrew... So beautiful!!! "
14,14,52806,2018-11-21 23:58:51,First shiny! ^_^ 
16,16,52808,2018-11-21 23:58:33,My team and my favorite Alolan form. Dropped Pidgeot when i got Raichu :) 
20,20,52812,2018-11-21 23:58:01,Uhh.. spoilers. Does this happen to anyone else?? 
22,22,52814,2018-11-21 23:57:48,not even a question 
23,23,52815,2018-11-21 23:57:23,still going.... 
24,26,52818,2018-11-21 23:57:00,Raw talent and style 
25,30,52822,2018-11-21 23:56:36,No for a few days right now its 2 nights starting tonight at a with with a sweet kitchen in the room to make that Mrmmm cant wait. '
26,31,52823,2018-11-21 23:56:29,Interesting bug 
28,33,52825,2018-11-21 23:56:25,got my squad ready 
30,37,52829,2018-11-21 23:56:00,Pokemon Let's Go Episode 5: On The Road To Vermilion City! via 
31,38,52830,2018-11-21 23:55:57,so much 
32,39,52831,2018-11-21 23:55:50,Tradition is tradition... 
34,42,52834,2018-11-21 23:55:27,I chose Who will you choose for your adventure on 
36,44,52836,2018-11-21 23:55:25,"Bow before me, King of the Karp "
37,45,52837,2018-11-21 23:55:25,Hell yeah!!! X3  &lt;3  
38,46,52838,2018-11-21 23:55:13,ahhhhhhhh yeah first shiny 
39,47,52839,2018-11-21 23:55:09,i shaped a tank birb from candy 
41,49,52841,2018-11-21 23:54:58,"my finalized let's go team, i have no shame when it comes to using legendaries "
42,50,52842,2018-11-21 23:54:47,"Streaming Eevee! Were about to face of against Sabrina, but our trusty Haunter will do the trick. Come relax with us. Stream Starts at 7PM EST!!"
44,52,52844,2018-11-21 23:54:44,"ME: i only care about this one yellow moronGAME: listen, we encourage this"
47,55,52847,2018-11-21 23:54:37,Todays Shiny haul so far 
48,56,52848,2018-11-21 23:54:28,I had the same reaction actually lol 
49,57,52849,2018-11-21 23:54:28,Yall he really out here :! 
50,60,52852,2018-11-21 23:54:08,Talk about battles being onesided from the start... 
51,62,52854,2018-11-21 23:54:05,maybe you should dedicate yourself to being a better father instead 
54,68,52860,2018-11-21 23:53:31,FINALLY 
55,69,52861,2018-11-21 23:53:07,So when do I start getting specific Pokemon candy? 
57,71,52863,2018-11-21 23:53:00,"cool, see you in a cave in 2 years "
58,72,52864,2018-11-21 23:52:56,my precious baby 
60,76,52868,2018-11-21 23:52:34,xqcHands 
61,77,52869,2018-11-21 23:52:33,Straight stanced on you bitches 
62,78,52870,2018-11-21 23:52:33,"I'm joining the hype! Playing some Let's Go, Pikachu! Join me while I shiny hunt, beat gyms, and fail at menial Pokemon battles!"
